#------------------------------------------------------------------------------------------------------
# HVCOORDSYS description table
#
# syntax: [HVCOORDSYS,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_HVC_KKJ_FINLAND_UCS_N60_HT, "Finland - onshore"
PE_HVC_NAD_1983_SPCS_IN_E_USFT_NAVD88_HT_USFT, "USA - Indiana - SPCS - E"
PE_HVC_NAD_1983_SPCS_IN_W_USFT_NAVD88_HT_USFT, "USA - Indiana - SPCS - W"
PE_HVC_NAD_1983_SPCS_IA_N_USFT_NAVD88_HT_USFT, "USA - Iowa - SPCS - N"
PE_HVC_NAD_1983_SPCS_IA_S_USFT_NAVD88_HT_USFT, "USA - Iowa - SPCS - S"
PE_HVC_NAD_1983_SPCS_KS_N_USFT_NAVD88_HT_USFT, "USA - Kansas - SPCS - N"
PE_HVC_NAD_1983_SPCS_KS_S_USFT_NAVD88_HT_USFT, "USA - Kansas - SPCS - S"
PE_HVC_NAD_1983_SPCS_KY_N_USFT_NAVD88_HT_USFT, "USA - Kentucky - SPCS - N"
PE_HVC_NAD_1983_SPCS_KY_S_USFT_NAVD88_HT_USFT, "USA - Kentucky - SPCS - S"
PE_HVC_NAD_1983_SPCS_LA_N_USFT_NAVD88_HT_USFT, "USA - Louisiana - SPCS - N"
PE_HVC_NAD_1983_SPCS_LA_S_USFT_NAVD88_HT_USFT, "USA - Louisiana - SPCS - S"
PE_HVC_NAD_1983_SPCS_ME_E_USFT_NAVD88_HT_USFT, "USA - Maine - SPCS - E"
PE_HVC_NAD_1983_SPCS_ME_W_USFT_NAVD88_HT_USFT, "USA - Maine - SPCS - W"
PE_HVC_NAD_1983_SPCS_MD_USFT_NAVD88_HT_USFT, "USA - Maryland"
PE_HVC_NAD_1983_SPCS_MA_M_USFT_NAVD88_HT_USFT, "USA - Massachusetts - SPCS - mainland"
PE_HVC_NAD_1983_SPCS_MA_I_USFT_NAVD88_HT_USFT, "USA - Massachusetts - SPCS - islands"
PE_HVC_NAD_1983_SPCS_MN_N_USFT_NAVD88_HT_USFT, "USA - Minnesota - SPCS - N"
PE_HVC_NAD_1983_SPCS_MN_C_USFT_NAVD88_HT_USFT, "USA - Minnesota - SPCS - C"
PE_HVC_NAD_1983_SPCS_MN_S_USFT_NAVD88_HT_USFT, "USA - Minnesota - SPCS - S"
PE_HVC_NAD_1983_SPCS_MS_E_USFT_NAVD88_HT_USFT, "USA - Mississippi - SPCS - E"
PE_HVC_NAD_1983_SPCS_MS_W_USFT_NAVD88_HT_USFT, "USA - Mississippi - SPCS - W"
PE_HVC_NAD_1983_SPCS_NE_USFT_NAVD88_HT_USFT, "USA - Nebraska"
PE_HVC_NAD_1983_SPCS_NV_E_USFT_NAVD88_HT_USFT, "USA - Nevada - SPCS - E"
PE_HVC_NAD_1983_SPCS_NV_C_USFT_NAVD88_HT_USFT, "USA - Nevada - SPCS - C"
PE_HVC_NAD_1983_SPCS_NV_W_USFT_NAVD88_HT_USFT, "USA - Nevada - SPCS - W"
PE_HVC_NAD_1983_SPCS_NH_USFT_NAVD88_HT_USFT, "USA - New Hampshire"
PE_HVC_NAD_1983_SPCS_NJ_USFT_NAVD88_HT_USFT, "USA - New Jersey"
PE_HVC_NAD_1983_SPCS_NM_E_USFT_NAVD88_HT_USFT, "USA - New Mexico - SPCS - E"
PE_HVC_NAD_1983_SPCS_NM_C_USFT_NAVD88_HT_USFT, "USA - New Mexico - SPCS - C"
PE_HVC_NAD_1983_SPCS_NM_W_USFT_NAVD88_HT_USFT, "USA - New Mexico - SPCS - W"
PE_HVC_NAD_1983_SPCS_NY_E_USFT_NAVD88_HT_USFT, "USA - New York - SPCS - E"
PE_HVC_NAD_1983_SPCS_NY_C_USFT_NAVD88_HT_USFT, "USA - New York - SPCS - C"
PE_HVC_NAD_1983_SPCS_NY_W_USFT_NAVD88_HT_USFT, "USA - New York - SPCS - W"
PE_HVC_NAD_1983_SPCS_NY_LI_USFT_NAVD88_HT_USFT, "USA - New York - SPCS - LI"
PE_HVC_NAD_1983_SPCS_NC_USFT_NAVD88_HT_USFT, "USA - North Carolina"
PE_HVC_NAD_1983_SPCS_OH_N_USFT_NAVD88_HT_USFT, "USA - Ohio - SPCS - N"
PE_HVC_NAD_1983_SPCS_OH_S_USFT_NAVD88_HT_USFT, "USA - Ohio - SPCS - S"
PE_HVC_NAD_1983_SPCS_OK_N_USFT_NAVD88_HT_USFT, "USA - Oklahoma - SPCS - N"
PE_HVC_NAD_1983_SPCS_OK_S_USFT_NAVD88_HT_USFT, "USA - Oklahoma - SPCS - S"
PE_HVC_NAD_1983_SPCS_PA_N_USFT_NAVD88_HT_USFT, "USA - Pennsylvania - SPCS - N"
PE_HVC_NAD_1983_SPCS_PA_S_USFT_NAVD88_HT_USFT, "USA - Pennsylvania - SPCS - S"
PE_HVC_NAD_1983_SPCS_RI_USFT_NAVD88_HT_USFT, "USA - Rhode Island"
PE_HVC_NAD_1983_SPCS_SD_N_USFT_NAVD88_HT_USFT, "USA - South Dakota - SPCS - N"
PE_HVC_NAD_1983_SPCS_SD_S_USFT_NAVD88_HT_USFT, "USA - South Dakota - SPCS - S"
PE_HVC_NAD_1983_SPCS_TN_USFT_NAVD88_HT_USFT, "USA - Tennessee"
PE_HVC_NAD_1983_SPCS_TX_N_USFT_NAVD88_HT_USFT, "USA - Texas - SPCS - N"
PE_HVC_NAD_1983_SPCS_TX_NC_USFT_NAVD88_HT_USFT, "USA - Texas - SPCS - NC"
PE_HVC_NAD_1983_SPCS_TX_C_USFT_NAVD88_HT_USFT, "USA - Texas - SPCS - C"
PE_HVC_NAD_1983_SPCS_TX_SC_USFT_NAVD88_HT_USFT, "USA - Texas - SPCS - SC"
PE_HVC_NAD_1983_SPCS_TX_S_USFT_NAVD88_HT_USFT, "USA - Texas - SPCS - S"
PE_HVC_NAD_1983_SPCS_UT_N_USFT_NAVD88_HT_USFT, "USA - Utah - SPCS - N"
PE_HVC_NAD_1983_SPCS_UT_C_USFT_NAVD88_HT_USFT, "USA - Utah - SPCS - C"
PE_HVC_NAD_1983_SPCS_UT_S_USFT_NAVD88_HT_USFT, "USA - Utah - SPCS - S"
PE_HVC_NAD_1983_SPCS_VT_USFT_NAVD88_HT_USFT, "USA - Vermont"
PE_HVC_NAD_1983_SPCS_VA_N_USFT_NAVD88_HT_USFT, "USA - Virginia - SPCS - N"
PE_HVC_NAD_1983_SPCS_VA_S_USFT_NAVD88_HT_USFT, "USA - Virginia - SPCS - S"
PE_HVC_NAD_1983_SPCS_WA_N_USFT_NAVD88_HT_USFT, "USA - Washington - SPCS83 - N"
PE_HVC_NAD_1983_SPCS_WA_S_USFT_NAVD88_HT_USFT, "USA - Washington - SPCS83 - S"
PE_HVC_NAD_1983_SPCS_WV_N_USFT_NAVD88_HT_USFT, "USA - West Virginia - SPCS - N"
PE_HVC_NAD_1983_SPCS_WV_S_USFT_NAVD88_HT_USFT, "USA - West Virginia - SPCS - S"
PE_HVC_NAD_1983_SPCS_WI_N_USFT_NAVD88_HT_USFT, "USA - Wisconsin - SPCS - N"
PE_HVC_NAD_1983_SPCS_WI_C_USFT_NAVD88_HT_USFT, "USA - Wisconsin - SPCS - C"
PE_HVC_NAD_1983_SPCS_WI_S_USFT_NAVD88_HT_USFT, "USA - Wisconsin - SPCS - S"
PE_HVC_NAD_1983_SPCS_WY_E_USFT_NAVD88_HT_USFT, "USA - Wyoming - SPCS - E"
PE_HVC_NAD_1983_SPCS_WY_EC_USFT_NAVD88_HT_USFT, "USA - Wyoming - SPCS - EC"
PE_HVC_NAD_1983_SPCS_WY_WC_USFT_NAVD88_HT_USFT, "USA - Wyoming - SPCS - WC"
PE_HVC_NAD_1983_SPCS_WY_W_USFT_NAVD88_HT_USFT, "USA - Wyoming - SPCS - W"
PE_HVC_NAD_1983_SPCS_AL_E_NAVD88_HT, "USA - Alabama - SPCS - E"
PE_HVC_NAD_1983_SPCS_AL_W_NAVD88_HT, "USA - Alabama - SPCS - W"
PE_HVC_NAD_1983_SPCS_AK_1_NAVD88_HT, "USA - Alaska - Panhandle"
PE_HVC_NAD_1983_SPCS_AK_2_NAVD88_HT, "USA - Alaska - 144~W to 141~W"
